datetime,angbutter,plain bread,jam,americano,croissant,caffe latte,gateau chocolat,pandoro,cheese cake,lemon ade,orange pound,wiener,vanila latte,berry ade,tiramisu,merinque cookies,tiramisu croissant,cacao deep,pain au chocolat,almond croissant,croque monsieur,mad garlic,milk tea
2019-07-31,187.0,40.0,9.0,26.0,80.0,7.0,19.0,27.0,0.0,5.0,34.0,24.0,18.0,6.0,5.0,0.0,65.0,7.0,47.0,20.0,0.0,0.0,10.0
2019-09-30,767.0,184.0,53.0,90.0,264.0,43.0,68.0,99.0,0.0,6.0,108.0,154.0,43.0,14.0,2.0,17.0,153.0,70.0,180.0,63.0,0.0,0.0,33.0
2019-11-30,537.0,187.0,62.0,83.0,184.0,46.0,22.0,65.0,18.0,10.0,93.0,81.0,53.0,4.0,0.0,5.0,146.0,62.0,142.0,41.0,0.0,0.0,25.0
2020-01-31,614.0,198.0,50.0,109.0,168.0,41.0,30.0,70.0,33.0,4.0,113.0,87.0,33.0,11.0,0.0,7.0,216.0,78.0,113.0,38.0,0.0,0.0,40.0
2020-03-31,794.0,309.0,60.0,153.0,248.0,57.0,49.0,95.0,31.0,8.0,160.0,83.0,76.0,16.0,0.0,11.0,243.0,97.0,170.0,54.0,0.0,0.0,45.0
2020-05-31,330.0,110.0,15.0,52.0,105.0,20.0,22.0,38.0,10.0,5.0,58.0,47.0,18.0,4.0,0.0,9.0,122.0,50.0,74.0,19.0,0.0,0.0,7.0
2020-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
